RoleType	ID	Name	Mesh	Texture	Width	Height	IsHairSubset
2	16	°ÙµþËªÂÞ	data/source/item/face/F2_0036_HD.Mesh	data/source/item/face/Texture_HD/0036.tga	256	128	0
2	17	×Ï´äÏã³¾	data/source/item/face/F2_0037_HD.Mesh	data/source/item/face/Texture_HD/0037.tga	256	128	0
2	18	±¦×º²ÃÑþ	data/source/item/face/F2_0039_HD.Mesh	data/source/item/face/Texture_HD/0039.tga	256	128	0
2	19	ÁÙÔÀ	data/source/item/face/F2_0040_HD.Mesh	data/source/item/face/Texture_HD/0040.tga	128	64	0
2	20	°×ÈÕÉß	data/source/item/face/F2_0041_HD.Mesh	data/source/item/face/Texture_HD/0044M2.tga	256	128	0
2	21	¾°ºî	data/source/item/face/F2_0042_HD.Mesh	data/source/item/face/Texture_HD/0042.tga	128	64	0
2	22	¾Å½­¹Ç	data/source/item/face/F2_0043_HD.Mesh	data/source/item/face/Texture_HD/0045M2.tga	256	128	0
2	23	ÍõÅ°	data/source/item/face/F2_0044_HD.Mesh	data/source/item/face/Texture_HD/0044.tga	256	128	0
5	1	Ãµ¹å»¨	data/source/item/face/M1_0001_HD.Mesh	data/source/item/face/Texture_HD/0001.tga	192	192	0
5	2	É××Ó	data/source/item/face/M1_0002_HD.Mesh	data/source/item/face/Texture_HD/0002.tga	128	64	0
5	3	Ð¡ÁúÏº	data/source/item/face/M1_0003_HD.Mesh	data/source/item/face/Texture_HD/0003.tga	128	128	0
5	4	Ê÷Ö¦	data/source/item/face/M1_0006_HD.Mesh	data/source/item/face/Texture_HD/0006.tga	128	128	0
5	5	¹·Æ¤¸àÒ©	data/source/item/face/M1_0007_HD.Mesh	data/source/item/face/Texture_HD/0007.tga	32	32	0
5	6	Óã¹ÇÍ·	data/source/item/face/M1_0009_HD.Mesh	data/source/item/face/Texture_HD/0008.tga	64	32	0
5	7	éäÑÕ	data/source/item/face/M1_0020_HD.Mesh	data/source/item/face/Texture_HD/0020.tga	128	128	0
5	8	ºáÇï	data/source/item/face/M1_0021_HD.Mesh	data/source/item/face/Texture_HD/0021.tga	64	128	0
5	9	Ëæ·ç	data/source/item/face/M1_0022_HD.Mesh	data/source/item/face/Texture_HD/0022.tga	64	128	0
5	10	ÂÌË®	data/source/item/face/M1_0023_HD.Mesh	data/source/item/face/Texture_HD/0023.tga	192	192	0
5	11	ÏÑÈï	data/source/item/face/M1_0024_HD.Mesh	data/source/item/face/Texture/F0013.tga	128	128	0
5	12	Òø¹¿	data/source/item/face/M1_0027_HD.Mesh	data/source/item/face/Texture_HD/0027.tga	256	256	0
5	13	°×ÌÎµ÷	data/source/item/face/M1_0029_HD.Mesh	data/source/item/face/Texture_HD/0029.tga	256	128	0
5	14	ÌìµØ¿í	data/source/item/face/M1_0032_HD.Mesh	data/source/item/face/Texture_HD/0032.tga	256	128	0
5	15	Ò»Ò¹Ëª	data/source/item/face/M1_0033_HD.Mesh	data/source/item/face/Texture_HD/0033.tga	256	128	0
5	16	½î¶·ÔÆ	data/source/item/face/M1_0035_HD.Mesh	data/source/item/face/Texture_HD/0035.tga	256	128	0
5	17	Ð±ÕÕÍõÃÅ	data/source/item/face/M1_0038_HD.Mesh	data/source/item/face/Texture_HD/0038.tga	256	128	0
5	18	·ç²¨º£	data/source/item/face/M1_0040_HD.Mesh	data/source/item/face/Texture_HD/0040M2.tga	256	128	0
5	19	ÍõÅ°	data/source/item/face/M1_0041_HD.Mesh	data/source/item/face/Texture_HD/0044.tga	256	128	0
5	20	ÁÙÔÀ	data/source/item/face/M1_0042_HD.Mesh	data/source/item/face/Texture_HD/0040.tga	128	64	0
5	21	¾°ºî	data/source/item/face/M1_0043_HD.Mesh	data/source/item/face/Texture_HD/0042.tga	128	64	0
5	22	°×ÈÕÉß	data/source/item/face/M1_0044_HD.Mesh	data/source/item/face/Texture_HD/0044M2.tga	256	128	0
5	23	¾Å½­¹Ç	data/source/item/face/M1_0045_HD.Mesh	data/source/item/face/Texture_HD/0045M2.tga	256	128	0
6	1	Ãµ¹å»¨	data/source/item/face/F1_0001_HD.Mesh	data/source/item/face/Texture_HD/0001.tga	192	192	0
6	2	É××Ó	data/source/item/face/F1_0002_HD.Mesh	data/source/item/face/Texture_HD/0002.tga	128	64	0
6	3	Ð¡ÁúÏº	data/source/item/face/F1_0003_HD.Mesh	data/source/item/face/Texture_HD/0003.tga	128	128	0
6	4	±Ç»·	data/source/item/face/F1_0005_HD.Mesh	data/source/item/face/Texture_HD/0005.tga	192	128	0
6	5	Ê÷Ö¦	data/source/item/face/F1_0006_HD.Mesh	data/source/item/face/Texture_HD/0006.tga	128	128	0
6	6	¹·Æ¤¸àÒ©	data/source/item/face/F1_0007_HD.Mesh	data/source/item/face/Texture_HD/0007.tga	32	32	0
6	7	Óã¹ÇÍ·	data/source/item/face/F1_0009_HD.Mesh	data/source/item/face/Texture_HD/0008.tga	64	32	0
6	8	éäÑÕ	data/source/item/face/F1_0020_HD.Mesh	data/source/item/face/Texture_HD/0020.tga	128	128	0
6	9	ºáÇï	data/source/item/face/F1_0021_HD.Mesh	data/source/item/face/Texture_HD/0021.tga	64	128	0
6	10	Ëæ·ç	data/source/item/face/F1_0022_HD.Mesh	data/source/item/face/Texture_HD/0022.tga	64	128	0
6	11	ÂÌË®	data/source/item/face/F1_0023_HD.Mesh	data/source/item/face/Texture_HD/0023.tga	192	192	0
6	12	ÏÑÈï	data/source/item/face/F1_0024_HD.Mesh	data/source/item/face/Texture/F0013.tga	128	128	0
6	13	»¨Ã¼	data/source/item/face/F1_0028_HD.Mesh	data/source/item/face/Texture_HD/0017.tga	256	256	0
6	14	»¨Õ´¶î	data/source/item/face/F1_0030_HD.Mesh	data/source/item/face/Texture_HD/0030.tga	256	128	0
6	15	ÁðÁ§±ÌÖé	data/source/item/face/F1_0031_HD.Mesh	data/source/item/face/Texture_HD/0031.tga	256	128	0
6	16	ÇåÏþ·âËª	data/source/item/face/F1_0034_HD.Mesh	data/source/item/face/Texture_HD/0034.tga	256	128	0
6	17	°ÙµþËªÂÞ	data/source/item/face/F1_0036_HD.Mesh	data/source/item/face/Texture_HD/0036.tga	256	128	0
6	18	×Ï´äÏã³¾	data/source/item/face/F1_0037_HD.Mesh	data/source/item/face/Texture_HD/0037.tga	256	128	0
6	19	±¦×º²ÃÑþ	data/source/item/face/F1_0039_HD.Mesh	data/source/item/face/Texture_HD/0039.tga	256	128	0
6	20	ÁÙÔÀ	data/source/item/face/F1_0040_HD.Mesh	data/source/item/face/Texture_HD/0040.tga	128	64	0
6	21	°×ÈÕÉß	data/source/item/face/F1_0041_HD.Mesh	data/source/item/face/Texture_HD/0044M2.tga	256	128	0
6	22	¾°ºî	data/source/item/face/F1_0042_HD.Mesh	data/source/item/face/Texture_HD/0042.tga	128	64	0
6	23	¾Å½­¹Ç	data/source/item/face/F1_0043_HD.Mesh	data/source/item/face/Texture_HD/0045M2.tga	256	128	0
6	24	ÍõÅ°	data/source/item/face/F1_0044_HD.Mesh	data/source/item/face/Texture_HD/0044.tga	256	128	0
