ID	AreaID	AreaName	AreaDefault	DefaultName	szAreaPath	AreaAni	ClassID	ClassName	BoneType	BoneName	szBoneTip	DivideName	Step
74	4						2	鼻梁	75	高度	请从侧面查看效果		
75	4						2	鼻梁	83	弧度	请从侧面查看效果		
76	4						2	鼻梁	94	凹凸	请从侧面查看效果		
77	4						3	鼻尖	88	宽度			
78	4						3	鼻尖	70	高度			
79	4						3	鼻尖	69	凹凸	请从侧面查看效果		
80	4						3	鼻尖	79	弧度	请从侧面查看效果		
81	4						4	鼻翼	71	宽度			
82	4						4	鼻翼	73	高度			
83	4						4	鼻翼	72	凹凸	请从侧面查看效果		
84	4						4	鼻翼	80	外旋			
85	4						4	鼻翼	81	上旋			
86	4						4	鼻翼	82	侧旋			
87	4						5	鼻底	87	高度			
88	4						5	鼻底	95	宽度			
89	4						5	鼻底	76	凹凸	请从侧面查看效果		
90	4						5	鼻底	84	弧度	请从侧面查看效果		
91	5	嘴部	29;30;31;32;33;34;35	嘴部预设		20;24;23;23;22;24;24;21;23;23	1	整体	98	高低		位置	
92	5						1	整体	97	凹凸	请从侧面查看效果		
93	5						1	整体	116	倾斜	请从侧面查看效果		
94	5						1	整体	130	宽窄		大小	
95	5						1	整体	132	厚度			
96	5						2	上唇	135	厚度		整体	
97	5						2	上唇	99	凹凸	请从侧面查看效果		
98	5						2	上唇	117	上旋	请从侧面查看效果		
99	5						2	上唇	137	宽窄		中部	
100	5						2	上唇	139	厚度			
101	5						2	上唇	107	高度			
102	5						2	上唇	106	凹凸	请从侧面查看效果		
103	5						2	上唇	122	上旋	请从侧面查看效果		
104	5						2	上唇	108	宽窄		两侧	
105	5						2	上唇	110	高度			
106	5						2	上唇	109	凹凸	请从侧面查看效果		
107	5						2	上唇	123	外旋			
108	5						2	上唇	124	侧旋			
109	5						3	下唇	136	厚度		整体	
110	5						3	下唇	102	高度			
111	5						3	下唇	100	凹凸	请从侧面查看效果		
112	5						3	下唇	118	上旋			
113	5						3	下唇	144	厚度		中部	
114	5						3	下唇	112	高度			
115	5						3	下唇	111	凹凸	请从侧面查看效果		
116	5						3	下唇	126	上旋	请从侧面查看效果		
117	5						3	下唇	113	宽窄		两侧	
118	5						3	下唇	115	高度			
119	5						3	下唇	114	凹凸	请从侧面查看效果		
120	5						3	下唇	127	外旋			
121	5						3	下唇	128	侧旋			
122	5						4	嘴角	105	高度			
123	5						4	嘴角	103	间距			
124	5						4	嘴角	104	凹凸	请从侧面查看效果		
