RoleType	FilePath	Icon	Name	Des	IsDefault	CanUseInCreate
2	data\public\FaceMeta\F2\F2_028.json	21793	by银光照长夜			
2	data\public\FaceMeta\F2\F2_029.json	21794	by银光照长夜			
2	data\public\FaceMeta\F2\F2_030.json	21795	by星河浮霁			
2	data\public\FaceMeta\F2\F2_031.json	21796	by花呜呜			
2	data\public\FaceMeta\F2\F2_032.json	21797	by麻酱裹肥羊羊羊			
2	data\public\FaceMeta\F2\F2_033.json	21798	by妄海汲遥			
2	data\public\FaceMeta\F2\F2_034.json	21799	by要五块盐酥叽			
2	data\public\FaceMeta\F2\F2_035.json	21800	by三涧雾			
5	data\public\FaceMeta\M1\M1_001.json	21166	默认	创建角色时的默认脸型，如果您已经拥有则无法购买该脸型。	1	1
5	data\public\FaceMeta\M1\【脸型】展锋正太.json	22355				
5	data\public\FaceMeta\M1\【脸型】灵龙正太.json	22356				
5	data\public\FaceMeta\M1\【脸型】校服正太.json	22357				
5	data\public\FaceMeta\M1\【脸型】预约套正太.json	22358				
5	data\public\FaceMeta\M1\【脸型】神鹿正太.json	22359				
5	data\public\FaceMeta\M1\【脸型】弓盒正太.json	22360				
5	data\public\FaceMeta\M1\M1_002.json	21167	by清肆			
5	data\public\FaceMeta\M1\M1_003.json	21168	by清肆			
5	data\public\FaceMeta\M1\M1_004.json	21169	by清肆			
5	data\public\FaceMeta\M1\M1_005.json	21170	by陆短腿			
5	data\public\FaceMeta\M1\M1_006.json	21171	by陆短腿			
5	data\public\FaceMeta\M1\M1_007.json	21172	by陆短腿			
5	data\public\FaceMeta\M1\M1_008.json	21173	by陆短腿			
5	data\public\FaceMeta\M1\M1_009.json	21174	by烟夕罗			
5	data\public\FaceMeta\M1\M1_010.json	21175	by烟夕罗			
5	data\public\FaceMeta\M1\M1_011.json	21176	by烟夕罗			
5	data\public\FaceMeta\M1\M1_012.json	21177	by妧九			
5	data\public\FaceMeta\M1\M1_013.json	21178	by妧九			
5	data\public\FaceMeta\M1\M1_014.json	21179	by妧九			
5	data\public\FaceMeta\M1\M1_015.json	21180	by妧九			
5	data\public\FaceMeta\M1\M1_016.json	21801	by雨弑			
5	data\public\FaceMeta\M1\M1_017.json	21802	by陆短腿			
5	data\public\FaceMeta\M1\M1_018.json	21803	by三涧雾			
5	data\public\FaceMeta\M1\M1_019.json	21804	by陆短腿			
5	data\public\FaceMeta\M1\M1_020.json	21805	by陆短腿			
5	data\public\FaceMeta\M1\M1_021.json	21806	by陆短腿			
5	data\public\FaceMeta\M1\M1_022.json	21807	by汪仔雪饼snowcake			
5	data\public\FaceMeta\M1\M1_023.json	21808	by境一			
5	data\public\FaceMeta\M1\M1_024.json	21809	by兔子头呵呵哒			
5	data\public\FaceMeta\M1\M1_025.json	21810	by兔子头呵呵哒			
5	data\public\FaceMeta\M1\M1_026.json	21811	by兔子头呵呵哒			
5	data\public\FaceMeta\M1\M1_027.json	21812	by木佑几几几几			
5	data\public\FaceMeta\M1\M1_028.json	21813	by流浪屠屠			
5	data\public\FaceMeta\M1\M1_029.json	21814	by米子稻			
5	data\public\FaceMeta\M1\M1_030.json	21815	by有鹿听寒			
5	data\public\FaceMeta\M1\M1_031.json	21816	by稀有苹果派			
5	data\public\FaceMeta\M1\M1_032.json	21817	by要五块盐酥叽			
5	data\public\FaceMeta\M1\M1_033.json	21818	by暮松大哥			
5	data\public\FaceMeta\M1\M1_034.json	21819	by清清清野			
6	data\public\FaceMeta\F1\F1_001.json	21181	默认	创建角色时的默认脸型，如果您已经拥有则无法购买该脸型。	1	1
6	data\public\FaceMeta\F1\【脸型】展锋萝莉.json	22361				
6	data\public\FaceMeta\F1\【脸型】灵龙萝莉.json	22362				
6	data\public\FaceMeta\F1\【脸型】校服萝莉.json	22364				
6	data\public\FaceMeta\F1\【脸型】预约套萝莉.json	22363				
6	data\public\FaceMeta\F1\【脸型】神鹿萝莉.json	22365				
6	data\public\FaceMeta\F1\【脸型】弓盒萝莉.json	22366				
6	data\public\FaceMeta\F1\F1_002.json	21182	by糯猪猪			
6	data\public\FaceMeta\F1\F1_003.json	21183	by糯猪猪			
6	data\public\FaceMeta\F1\F1_004.json	21184	by糯猪猪			
6	data\public\FaceMeta\F1\F1_005.json	21185	by糯猪猪			
6	data\public\FaceMeta\F1\F1_006.json	21186	by糯猪猪			
6	data\public\FaceMeta\F1\F1_007.json	21187	by糯猪猪			
6	data\public\FaceMeta\F1\F1_008.json	21188	by糯猪猪			
6	data\public\FaceMeta\F1\F1_009.json	21189	by糯猪猪			
6	data\public\FaceMeta\F1\F1_010.json	21190	by糯猪猪			0
6	data\public\FaceMeta\F1\F1_011.json	21191	by半盏软桃			
6	data\public\FaceMeta\F1\F1_012.json	21192	by月舟			
6	data\public\FaceMeta\F1\F1_013.json	21193	by月舟			
6	data\public\FaceMeta\F1\F1_014.json	21194	by仙草			
6	data\public\FaceMeta\F1\F1_015.json	21195	by夺月			
6	data\public\FaceMeta\F1\F1_016.json	21820	by夺月			
6	data\public\FaceMeta\F1\F1_017.json	21821	by夺月			
6	data\public\FaceMeta\F1\F1_018.json	21822	by夺月			
6	data\public\FaceMeta\F1\F1_019.json	21823	by书中寻鹤仙			
6	data\public\FaceMeta\F1\F1_020.json	21824	byKirara绵绵冰			
6	data\public\FaceMeta\F1\F1_021.json	21825	by糯猪猪			
6	data\public\FaceMeta\F1\F1_022.json	21826	by糯猪猪			
6	data\public\FaceMeta\F1\F1_023.json	21827	by糯猪猪			
6	data\public\FaceMeta\F1\F1_024.json	21828	by吗喽烧酒			
6	data\public\FaceMeta\F1\F1_025.json	21829	by妧九			
6	data\public\FaceMeta\F1\F1_026.json	21830	by素语清禅			
6	data\public\FaceMeta\F1\F1_027.json	21831	by星河浮霁			
6	data\public\FaceMeta\F1\F1_028.json	21832	by星河浮霁			
6	data\public\FaceMeta\F1\F1_029.json	21833	by烟云散烬			
6	data\public\FaceMeta\F1\F1_030.json	21834	by烟云散烬			
6	data\public\FaceMeta\F1\F1_031.json	21835	by君安雪词			
6	data\public\FaceMeta\F1\F1_032.json	21836	by妄海汲遥			
6	data\public\FaceMeta\F1\F1_033.json	21837	by妄海汲遥			
6	data\public\FaceMeta\F1\F1_034.json	21838	by坂田鸡块			
6	data\public\FaceMeta\F1\F1_035.json	21839	byKirara绵绵冰			
