RoleType	Type	ShowID	ColorID	szName	fMax	fMin	fScale	fColorR	fColorG	fColorB	fColorA
1	1	3	14	Ãµºì	1.2	0.1	1.2	0.937255	0.3785	0.618204	0.74902
1	1	4	1	ºì	1	0	1.5	0.858824	0.219608	0.219608	0.670588
1	1	4	2	³È	1	0	1.5	1	0.576471	0.34902	0.776471
1	1	4	3	ÂÌ	1	0	1.5	0.690196	0.741176	0.411765	1
1	1	4	4	Çà	1	0	1.5	0.447059	0.694118	0.658824	0.847059
1	1	4	5	À¶	1	0	1.5	0.580392	0.647059	0.921569	0.886275
1	1	4	6	×Ï	1	0	1.5	0.682353	0.592157	0.984314	0.831373
1	1	4	7	×Ïºì	1	0	1.5	0.956863	0.556863	0.854902	0.741176
1	1	4	8	ºÚ	1	0	1.5	0.403922	0.34902	0.392157	0.337255
1	1	4	9	°×	1	0.02	1.5	0.941176	0.913725	0.929412	0.74902
1	1	4	10	·Û	1	0.02	1.5	0.863386	0.67245	0.688258	0.74902
1	1	4	11	½ð	1	0.02	1.5	0.937255	0.744152	0.189258	0.74902
1	1	4	12	Í¸À¶	1	0.02	1.5	0.459617	0.850568	0.937255	0.74902
1	1	4	13	¹ûÂÌ	1	0.02	1.5	0.502831	0.863386	0.348669	0.74902
1	1	4	14	Ãµºì	1	0.02	1.5	0.846998	0.276905	0.616388	0.74902
1	1	5	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	1	5	2	³È	3.25	0	2	1	0.576471	0.34902	0.776471
1	1	5	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	1	5	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	1	5	5	À¶	3.25	0	2	0.580392	0.647059	0.921569	0.886275
1	1	5	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	1	5	7	×Ïºì	3.25	0	2	0.956863	0.556863	0.854902	0.741176
1	1	5	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	1	5	9	°×	1.2	0.02	2.42	0.941176	0.913725	0.929412	0.74902
1	1	5	10	·Û	1.2	0.02	2.42	0.937255	0.648859	0.674632	0.74902
1	1	5	11	½ð	1.2	0.02	2.42	0.937255	0.774899	0.360479	0.74902
1	1	5	12	Í¸À¶	1.2	0.02	2.42	0.301228	0.676936	0.803281	0.74902
1	1	5	13	¹ûÂÌ	1.2	0.02	2.42	0.424231	0.803281	0.208545	0.74902
1	1	5	14	Ãµºì	1.2	0.02	2.42	0.825132	0.269749	0.505425	0.74902
1	1	6	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	1	6	2	³È	3.25	0	2	1	0.576471	0.34902	0.776471
1	1	6	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	1	6	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	1	6	5	À¶	3.25	0	2	0.580392	0.647059	0.921569	0.886275
1	1	6	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	1	6	7	×Ïºì	3.25	0	2	0.956863	0.556863	0.854902	0.741176
1	1	6	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	1	6	9	°×	1.2	0.02	3.03	0.941176	0.913725	0.929412	0.74902
1	1	6	10	·Û	1.2	0.02	2.8	0.732235	0.50692	0.50692	0.74902
1	1	6	11	½ð	1.2	0.02	2.8	0.803281	0.620905	0.177646	0.74902
1	1	6	12	Í¸À¶	1.2	0.02	2.5	0.345098	0.6	0.731182	0.74902
1	1	6	13	¹ûÂÌ	1.2	0.02	2.5	0.380484	0.601099	0.318608	0.74902
1	1	6	14	Ãµºì	1.2	0.02	2.5	0.683055	0.276204	0.458885	0.74902
1	1	7	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	1	7	2	³È	2	0.3	1	1	0.576471	0.34902	0.776471
1	1	7	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	1	7	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	1	7	5	À¶	3.25	0	2	0.576471	0.647059	0.921569	0.886275
1	1	7	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	1	7	7	×Ïºì	3.25	0	1.5	0.956863	0.556863	0.854902	0.741176
1	1	7	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	1	7	9	°×	1	0.02	2	0.941176	0.913725	0.929412	0.74902
1	1	7	10	·Û	1	0.02	1.5	0.846998	0.618967	0.666575	0.74902
1	1	7	11	½ð	1	0.02	1.8	0.836072	0.663233	0.144717	0.74902
1	1	7	12	Í¸À¶	1	0.02	1.8	0.328817	0.653223	0.814206	0.74902
1	1	7	13	¹ûÂÌ	1	0.02	1.8	0.526558	0.775952	0.119371	0.74902
1	1	7	14	Ãµºì	1	0.02	1.8	0.852461	0.352453	0.535546	0.74902
1	1	8	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	1	8	2	³È	2	0	1.72	1	0.576471	0.34902	0.776471
1	1	8	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	1	8	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	1	8	5	À¶	3.25	0	2	0.576471	0.647059	0.921569	0.886275
1	1	8	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	1	8	7	×Ïºì	3.25	0	1.5	0.956863	0.556863	0.854902	0.741176
1	1	8	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	1	8	9	°×	1	0.02	2	0.941176	0.913725	0.929412	0.74902
1	1	8	10	·Û	1	0.02	1	0.937255	0.766018	0.857374	0.74902
1	1	8	11	½ð	1	0.02	1	0.937255	0.856626	0.369497	0.74902
1	1	8	12	Í¸À¶	1	0.02	1	0.398901	0.751751	1	0.74902
1	1	8	13	¹ûÂÌ	1	0.02	1	0.50695	0.868849	0.208865	0.74902
1	1	8	14	Ãµºì	1	0.02	1	0.918029	0.411353	0.703197	0.74902
1	1	9	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	1	9	2	³È	2	0	1.84	1	0.576471	0.34902	0.776471
1	1	9	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	1	9	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	1	9	5	À¶	3.25	0	2	0.576471	0.647059	0.921569	0.886275
1	1	9	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	1	9	7	×Ïºì	3.25	0	1.5	0.956863	0.556863	0.854902	0.741176
1	1	9	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	1	9	9	°×	1	0.02	2	0.941176	0.913725	0.929412	0.74902
1	1	9	10	·Û	1	0.02	1.2	0.937255	0.696773	0.676051	0.74902
1	1	9	11	½ð	1	0.02	1.2	0.937255	0.752865	0.297398	0.74902
1	1	9	12	Í¸À¶	1	0.02	1.2	0.387167	0.680964	0.796078	0.74902
1	1	9	13	¹ûÂÌ	1	0.02	1	0.657069	0.937255	0.486549	0.74902
1	1	9	14	Ãµºì	1	0.02	1	0.937255	0.387518	0.619318	0.74902
1	1	10	1	ºì	1	0	2	0.858824	0.219608	0.219608	0.670588
1	1	10	2	³È	1	0	1.78	1	0.576471	0.34902	0.776471
1	1	10	3	ÂÌ	1	0	2	0.690196	0.741176	0.411765	1
1	1	10	4	Çà	1	0	2	0.447059	0.694118	0.658824	0.847059
1	1	10	5	À¶	1	0	2	0.576471	0.647059	0.921569	0.886275
1	1	10	6	×Ï	1	0	2	0.682353	0.592157	0.984314	0.831373
1	1	10	7	×Ïºì	1	0	1.5	0.956863	0.556863	0.854902	0.741176
1	1	10	8	ºÚ	1	0	1	0.403922	0.34902	0.392157	0.341176
1	1	10	9	°×	1	0.02	2	0.941176	0.913725	0.929412	0.74902
1	1	10	10	·Û	1	0.02	2	1	0.740383	0.896284	0.74902
1	1	10	11	½ð	1	0.02	2	0.95082	0.787701	0.347402	0.74902
1	1	10	12	Í¸À¶	1	0.02	2	0.18024	0.655772	0.937255	0.74902
1	1	10	13	¹ûÂÌ	1	0	2	0.441596	0.937255	0.486366	0.74902
1	1	10	14	Ãµºì	1	0	2	1	0.278843	0.760815	0.74902
1	1	11	1	ºì	1	0	2	0.858824	0.219608	0.219608	0.670588
1	1	11	2	³È	1	0	1.78	1	0.576471	0.34902	0.776471
1	1	11	3	ÂÌ	1	0	2	0.690196	0.741176	0.411765	1
1	1	11	4	Çà	1	0.02	2	0.447059	0.694118	0.658824	0.847059
1	1	11	5	À¶	1	0.3	2	0.491798	0.595727	1	0.886275
1	1	11	6	×Ï	1	0.3007	2	0.612741	0.57734	0.984314	0.831373
1	1	11	7	×Ïºì	1	0.02	1.5	0.956863	0.556863	0.854902	0.741176
1	1	11	8	ºÚ	1	0.02	1	0.333333	0.333333	0.333333	0.337255
1	1	11	9	°×	1	0.15	2	0.941176	0.913725	0.929412	0.74902
1	1	11	10	·Û	1	0.35	2	1	0.726772	0.889891	0.74902
1	1	11	11	½ð	1	0.3	2	0.95082	0.787701	0.347402	0.74902
1	1	11	12	Í¸À¶	1	0.3529	2	0.310109	0.647715	0.846998	0.74902
1	1	11	13	¹ûÂÌ	1	0.35	2	0.567819	0.937255	0.517296	0.74902
1	1	11	14	Ãµºì	1	0.3	2	0.907103	0.244221	0.604822	0.74902
1	1	12	1	ºì	1	0	2	0.858824	0.300343	0.300343	0.666667
1	1	12	2	³È	1	0	1.78	1	0.665782	0.486336	0.776471
1	1	12	3	ÂÌ	1	0	2	0.716899	0.918029	0.635554	1
1	1	12	4	Çà	1	0	2	0.644068	1	0.949157	0.847059
1	1	12	5	À¶	1	0.02	2	0.699458	0.760922	1	0.886275
1	1	12	6	×Ï	1	0.02	2	0.739132	0.661204	1	0.831373
1	1	12	7	×Ïºì	1	0.02	1.5	1	0.644236	0.962936	0.737255
1	1	12	8	ºÚ	1	0.02	1	0.52459	0.52459	0.52459	0.337255
1	1	12	9	°×	1	0.04	2	1	0.970718	0.991638	0.74902
1	1	12	10	·Û	1	0.04	2	1	0.682231	0.673075	0.74902
1	1	12	11	½ð	1	0.04	2	0.94902	0.800549	0.404501	0.74902
1	1	12	12	Í¸À¶	1	0.04	2	0.37705	0.76878	1	0.74902
1	1	12	13	¹ûÂÌ	1	0.04	2	0.441596	0.937255	0.486366	0.74902
1	1	12	14	Ãµºì	1	0.04	2	1	0.360662	0.578576	0.74902
1	1	13	1	ºì	1	0	2	0.858824	0.219608	0.219608	0.670588
1	1	13	2	³È	1	0	1.78	1	0.620752	0.490379	0.776471
1	1	13	3	ÂÌ	1	0	2	0.575586	0.737255	0.467872	1
1	1	13	4	Çà	1	0	2	0.447059	0.694118	0.658824	0.847059
1	1	13	5	À¶	1	0.02	2	0.576471	0.647059	0.921569	0.886275
1	1	13	6	×Ï	1	0	2	0.662562	0.596262	0.984314	0.831373
1	1	13	7	×Ïºì	1	0	1.5	0.890074	0.552041	0.956863	0.737255
1	1	13	8	ºÚ	1	0	1	0.502739	0.502739	0.502739	0.337255
1	1	13	9	°×	1	0.02	2	0.941176	0.913725	0.929412	0.74902
1	1	13	10	·Û	1	0.02	2	1	0.691432	0.673075	0.74902
1	1	13	11	½ð	1	0.02	2	1	0.745815	0.26923	0.74902
1	1	13	12	Í¸À¶	1	0.02	2	0.18024	0.655772	0.937255	0.74902
1	1	13	13	¹ûÂÌ	1	0	2	0.52462	0.879774	0.414511	0.74902
1	1	13	14	Ãµºì	1	0	2	1	0.278843	0.760815	0.74902
1	1	14	1	ºì	1	0	2	0.858824	0.323827	0.323827	0.666667
1	1	14	2	³È	1	0	1.78	1	0.640253	0.480766	0.776471
1	1	14	3	ÂÌ	1	0	2	0.651362	0.672129	0.433402	1
1	1	14	4	Çà	1	0	2	0.57882	0.743175	0.639445	0.847059
1	1	14	5	À¶	1	0.1	1.8	0.682765	0.637537	0.827451	0.886275
1	1	14	6	×Ï	1	0.1	1.5	0.854902	0.720424	0.984314	0.831373
1	1	14	7	×Ïºì	1	0.1	1.5	0.956863	0.671656	0.854047	0.737255
1	1	14	8	ºÚ	1	0.1	2	0.502739	0.502739	0.502739	0.337255
1	1	14	9	°×	1	0.1	1.5	0.937255	0.909804	0.929412	0.74902
1	1	14	10	·Û	1	0.1	1.5	1	0.80676	0.788464	0.74902
1	1	14	11	½ð	1	0.1	1.5	0.896178	0.700389	0.333013	0.74902
1	1	14	12	Í¸À¶	1	0.1	1.5	0.515694	0.750698	0.857923	0.74902
1	1	14	13	¹ûÂÌ	1	0.1	1.5	0.513329	0.775952	0.432502	0.74902
1	1	14	14	Ãµºì	1	0.1	1.5	0.770489	0.286305	0.47013	0.74902
1	1	15	1	ºì	1	0.1	1	0.858824	0.305043	0.305043	0.666667
1	1	15	2	³È	1	0.1	1	1	0.580026	0.437156	0.776471
1	1	15	3	ÂÌ	1	0.1	1	0.62092	0.732235	0.42948	1
1	1	15	4	Çà	1	0.1	1	0.487221	0.694118	0.565743	0.847059
1	1	15	5	À¶	1	0.1	1	0.553948	0.629129	0.921569	0.886275
1	1	15	6	×Ï	1	0.1	1	0.722774	0.672343	0.984314	0.831373
1	1	15	7	×Ïºì	1	0.1	1	0.956863	0.570443	0.866499	0.737255
1	1	15	8	ºÚ	1	0	1	0.502739	0.502739	0.502739	0.337255
1	1	15	9	°×	1	0.1	1	0.941176	0.913725	0.929412	0.74902
1	1	15	10	·Û	1	0.2	1	1	0.673075	0.738354	0.74902
1	1	15	11	½ð	1	0.2	1	1	0.764431	0.322408	0.74902
1	1	15	12	Í¸À¶	1	0.1	1	0.15845	0.587991	0.841535	0.74902
1	1	15	13	¹ûÂÌ	1	0.1	1	0.52462	0.879774	0.414511	0.74902
1	1	15	14	Ãµºì	1	0.05	1	0.92549	0.364706	0.619608	0.74902
1	1	16	1	ºì	1	0	1.5	0.858824	0.219608	0.219608	0.670588
1	1	16	2	³È	1	0	1	1	0.620752	0.490379	0.776471
1	1	16	3	ÂÌ	1	0	2	0.575586	0.737255	0.467872	1
1	1	16	4	Çà	1	0	2	0.447059	0.694118	0.658824	0.847059
1	1	16	5	À¶	1	0.02	2	0.469657	0.558679	0.921569	0.886275
1	1	16	6	×Ï	1	0	1.5	0.676493	0.56788	0.984314	0.831373
1	1	16	7	×Ïºì	1	0	1.5	0.890074	0.552041	0.956863	0.737255
1	1	16	8	ºÚ	1	0	1.5	0.501961	0.448859	0.462364	0.337255
1	1	16	9	°×	1	0	1.8	0.874174	0.920485	0.937255	0.74902
1	1	16	10	·Û	1	0.02	1.5	1	0.691432	0.673075	0.74902
1	1	16	11	½ð	1	0.02	1.5	1	0.809064	0.288457	0.74902
1	1	16	12	Í¸À¶	1	0.02	1.5	0.360479	0.762783	0.937255	0.74902
1	1	16	13	¹ûÂÌ	1	0	1.5	0.52462	0.879774	0.414511	0.74902
1	1	16	14	Ãµºì	1	0	1.5	1	0.192309	0.533562	0.74902
1	1	17	1	ºì	1	0	2	0.858824	0.219608	0.219608	0.670588
1	1	17	2	³È	1	0	1.78	1	0.620752	0.490379	0.776471
1	1	17	3	ÂÌ	1	0	2	0.660395	0.737255	0.460777	1
1	1	17	4	Çà	1	0	2	0.513909	0.694118	0.668803	0.847059
1	1	17	5	À¶	1	0.02	2	0.636164	0.615366	0.879774	0.886275
1	1	17	6	×Ï	1	0	2	0.8159	0.71931	0.984314	0.831373
1	1	17	7	×Ïºì	1	0	1.5	0.939895	0.668772	0.835386	0.737255
1	1	17	8	ºÚ	1	0.1	2	0.502739	0.502739	0.502739	0.337255
1	1	17	9	°×	1	0.02	2	0.941176	0.913725	0.929412	0.74902
1	1	17	10	·Û	1	0.1	2	1	0.737697	0.737697	0.74902
1	1	17	11	½ð	1	0.02	2	0.921569	0.686275	0.243137	0.74902
1	1	17	12	Í¸À¶	1	0.02	2	0.404608	0.739559	0.937255	0.74902
1	1	17	13	¹ûÂÌ	1	0	2	0.535821	0.827451	0.447639	0.74902
1	1	17	14	Ãµºì	1	0	2	0.852461	0.386648	0.566751	0.74902
1	2	1	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	2	1	2	³È	3.25	0	2	1	0.576471	0.34902	0.776471
1	2	1	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	2	1	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	2	1	5	À¶	3.25	0	2	0.580392	0.647059	0.921569	0.886275
1	2	1	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	2	1	7	×Ïºì	3.25	0	2	0.956863	0.556863	0.854902	0.741176
1	2	1	8	ºÚ	3.25	0	3	0.403922	0.34902	0.392157	0.337255
1	2	1	9	°×	1.2	0.02	3.03	0.941176	0.913725	0.929412	0.74902
1	2	1	10	·Û	1.2	0.1	2.8	0.819669	0.558846	0.543816	0.74902
1	2	1	11	½ð	1.2	0.1	2.8	0.937255	0.729839	0.18024	0.74902
1	2	1	12	Í¸À¶	1.2	0.1	2.8	0.306432	0.745953	0.885252	0.74902
1	2	1	13	¹ûÂÌ	1.2	0.1	3.03	0.46775	0.717647	0.296712	0.74902
1	2	1	14	Ãµºì	1.2	0.1	2.8	0.759564	0.290547	0.456657	0.74902
1	2	2	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	2	2	2	³È	3.25	0	2	1	0.576471	0.34902	0.776471
1	2	2	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	2	2	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	2	2	5	À¶	3.25	0	2	0.580392	0.647059	0.921569	0.886275
1	2	2	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	2	2	7	×Ïºì	3.25	0	2	0.956863	0.556863	0.854902	0.741176
1	2	2	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	2	2	9	°×	1.2	0.02	3.03	0.941176	0.913725	0.929412	0.74902
1	2	2	10	·Û	1.2	0.1	2.8	0.819669	0.558846	0.543816	0.74902
1	2	2	11	½ð	1.2	0.1	2.8	0.937255	0.729839	0.18024	0.74902
1	2	2	12	Í¸À¶	1.2	0.1	2.8	0.306432	0.745953	0.885252	0.74902
1	2	2	13	¹ûÂÌ	1.2	0.1	3.03	0.46775	0.717647	0.296712	0.74902
1	2	2	14	Ãµºì	1.2	0.1	2.8	0.759564	0.290547	0.456657	0.74902
1	2	3	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	2	3	2	³È	3.25	0	2	1	0.576471	0.34902	0.776471
1	2	3	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	2	3	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	2	3	5	À¶	3.25	0	2	0.580392	0.647059	0.921569	0.886275
1	2	3	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	2	3	7	×Ïºì	3.25	0	2	0.956863	0.556863	0.854902	0.741176
1	2	3	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	2	3	9	°×	1.2	0.02	3.03	0.941176	0.913725	0.929412	0.74902
1	2	3	10	·Û	1.2	0.1	1.2	1	0.732235	0.748211	0.74902
1	2	3	11	½ð	1.2	0.1	1.2	0.989075	0.79527	0.302663	0.74902
1	2	3	12	Í¸À¶	1.2	0.1	1.2	0.219898	0.737881	0.846998	0.74902
1	2	3	13	¹ûÂÌ	1.2	0.1	1.2	0.582773	0.852461	0.298131	0.74902
1	2	3	14	Ãµºì	1.2	0.1	1.2	0.937255	0.3785	0.618204	0.74902
1	2	4	1	ºì	1	0	1.5	0.858824	0.219608	0.219608	0.670588
1	2	4	2	³È	1	0	1.5	1	0.576471	0.34902	0.776471
1	2	4	3	ÂÌ	1	0	1.5	0.690196	0.741176	0.411765	1
1	2	4	4	Çà	1	0	1.5	0.447059	0.694118	0.658824	0.847059
1	2	4	5	À¶	1	0	1.5	0.580392	0.647059	0.921569	0.886275
1	2	4	6	×Ï	1	0	1.5	0.682353	0.592157	0.984314	0.831373
1	2	4	7	×Ïºì	1	0	1.5	0.956863	0.556863	0.854902	0.741176
1	2	4	8	ºÚ	1	0	1.5	0.403922	0.34902	0.392157	0.337255
1	2	4	9	°×	1	0.02	1.5	0.941176	0.913725	0.929412	0.74902
1	2	4	10	·Û	1	0.02	1.5	0.863386	0.67245	0.688258	0.74902
1	2	4	11	½ð	1	0.02	1.5	0.937255	0.744152	0.189258	0.74902
1	2	4	12	Í¸À¶	1	0.02	1.5	0.459617	0.850568	0.937255	0.74902
1	2	4	13	¹ûÂÌ	1	0.02	1.5	0.502831	0.863386	0.348669	0.74902
1	2	4	14	Ãµºì	1	0.02	1.5	0.846998	0.276905	0.616388	0.74902
1	2	5	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	2	5	2	³È	3.25	0	2	1	0.576471	0.34902	0.776471
1	2	5	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	2	5	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	2	5	5	À¶	3.25	0	2	0.580392	0.647059	0.921569	0.886275
1	2	5	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	2	5	7	×Ïºì	3.25	0	2	0.956863	0.556863	0.854902	0.741176
1	2	5	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	2	5	9	°×	1.2	0.02	2.42	0.941176	0.913725	0.929412	0.74902
1	2	5	10	·Û	1.2	0.02	2.42	0.937255	0.648859	0.674632	0.74902
1	2	5	11	½ð	1.2	0.02	2.42	0.937255	0.774899	0.360479	0.74902
1	2	5	12	Í¸À¶	1.2	0.02	2.42	0.301228	0.676936	0.803281	0.74902
1	2	5	13	¹ûÂÌ	1.2	0.02	2.42	0.424231	0.803281	0.208545	0.74902
1	2	5	14	Ãµºì	1.2	0.02	2.42	0.825132	0.269749	0.505425	0.74902
1	2	6	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	2	6	2	³È	3.25	0	2	1	0.576471	0.34902	0.776471
1	2	6	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	2	6	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	2	6	5	À¶	3.25	0	2	0.580392	0.647059	0.921569	0.886275
1	2	6	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	2	6	7	×Ïºì	3.25	0	2	0.956863	0.556863	0.854902	0.741176
1	2	6	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	2	6	9	°×	1.2	0.02	3.03	0.941176	0.913725	0.929412	0.74902
1	2	6	10	·Û	1.2	0.02	2.8	0.732235	0.50692	0.50692	0.74902
1	2	6	11	½ð	1.2	0.02	2.8	0.803281	0.620905	0.177646	0.74902
1	2	6	12	Í¸À¶	1.2	0.02	2.5	0.345098	0.6	0.731182	0.74902
1	2	6	13	¹ûÂÌ	1.2	0.02	2.5	0.380484	0.601099	0.318608	0.74902
1	2	6	14	Ãµºì	1.2	0.02	2.5	0.683055	0.276204	0.458885	0.74902
1	2	7	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	2	7	2	³È	2	0.3	1	1	0.576471	0.34902	0.776471
1	2	7	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	2	7	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	2	7	5	À¶	3.25	0	2	0.576471	0.647059	0.921569	0.886275
1	2	7	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	2	7	7	×Ïºì	3.25	0	1.5	0.956863	0.556863	0.854902	0.741176
1	2	7	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	2	7	9	°×	1	0.02	2	0.941176	0.913725	0.929412	0.74902
1	2	7	10	·Û	1	0.02	1.5	0.846998	0.618967	0.666575	0.74902
1	2	7	11	½ð	1	0.02	1.8	0.836072	0.663233	0.144717	0.74902
