RoleType	Type	ShowID	FileName	Annotate	PosX	PosY	Width	Height	NeedMirror	MirrorAxis	MirrorValue	PasteMethod	NeedShadow	NeedFlip	SecondaryTexture
1	1	6	data\source\player\f2\部件\texture\face\f2_瞳孔005.tga	M2左瞳孔虹膜5	0	192	96	96	0	0	256	1	0	0	
1	1	7	data\source\player\f2\部件\texture\face\f2_瞳孔006.tga	M2左瞳孔虹膜6	0	192	96	96	0	0	256	1	0	0	
1	1	8	data\source\player\f2\部件\texture\face\f2_瞳孔007.tga	M2左瞳孔虹膜7	0	192	96	96	0	0	256	1	0	0	
1	1	9	data\source\player\f2\部件\texture\face\f2_瞳孔008.tga	M2左瞳孔虹膜8	0	192	96	96	0	0	256	1	0	0	
1	1	10	data\source\player\F2\部件\Texture\face\F2_瞳孔009.tga	M2左瞳孔虹膜9	0	192	96	96	0	0	256	1	0	0	
1	1	11	data\source\player\F2\部件\Texture\face\F2_瞳孔010.tga	M2左瞳孔虹膜10	0	192	96	96	0	0	256	1	0	0	
1	1	12	data\source\player\F2\部件\Texture\face\F2_瞳孔011.tga	M2左瞳孔虹膜11	0	192	96	96	0	0	256	1	0	0	
1	1	13	data\source\player\F2\部件\Texture\face\F2_瞳孔012.tga	M2左瞳孔虹膜12	0	192	96	96	0	0	256	1	0	0	
1	1	14	data\source\player\F2\部件\Texture\face\F2_瞳孔013.tga	M2左瞳孔虹膜13	0	192	96	96	0	0	256	1	0	0	
1	1	15	data\source\player\F2\部件\Texture\face\F2_瞳孔014.tga	M2左瞳孔虹膜14	0	192	96	96	0	0	256	1	0	0	
1	1	16	data\source\player\F2\部件\Texture\face\F2_瞳孔015.tga	M2左瞳孔虹膜15	0	192	96	96	0	0	256	1	0	0	
1	1	17	data\source\player\F2\部件\Texture\face\F2_瞳孔016.tga	M2左瞳孔虹膜16	0	192	96	96	0	0	256	1	0	0	
1	2	1	data\source\player\m2\部件\texture\face\m2_瞳孔001.tga	[默认]M2右瞳孔虹膜1	416	192	96	96	0	0	256	1	0	0	
1	2	2	data\source\player\m2\部件\texture\face\m2_瞳孔001.tga	M2右瞳孔虹膜1	416	192	96	96	0	0	256	1	0	0	
1	2	3	data\source\player\f2\部件\texture\face\f2_瞳孔002.tga	M2右瞳孔虹膜2	416	192	96	96	0	0	256	1	0	0	
1	2	4	data\source\player\f2\部件\texture\face\f2_瞳孔003.tga	M2右瞳孔虹膜3	416	192	96	96	0	0	256	1	0	0	
1	2	5	data\source\player\m2\部件\texture\face\m2_瞳孔004.tga	M2右瞳孔虹膜4	416	192	96	96	0	0	256	1	0	0	
1	2	6	data\source\player\f2\部件\texture\face\f2_瞳孔005.tga	M2右瞳孔虹膜5	416	192	96	96	0	0	256	1	0	0	
1	2	7	data\source\player\f2\部件\texture\face\f2_瞳孔006.tga	M2右瞳孔虹膜6	416	192	96	96	0	0	256	1	0	0	
1	2	8	data\source\player\f2\部件\texture\face\f2_瞳孔007.tga	M2右瞳孔虹膜7	416	192	96	96	0	0	256	1	0	0	
1	2	9	data\source\player\f2\部件\texture\face\f2_瞳孔008.tga	M2右瞳孔虹膜8	416	192	96	96	0	0	256	1	0	0	
1	2	10	data\source\player\F2\部件\Texture\face\F2_瞳孔009.tga	M2右瞳孔虹膜9	416	192	96	96	0	0	256	1	0	0	
1	2	11	data\source\player\F2\部件\Texture\face\F2_瞳孔010.tga	M2右瞳孔虹膜10	416	192	96	96	0	0	256	1	0	0	
1	2	12	data\source\player\F2\部件\Texture\face\F2_瞳孔011.tga	M2右瞳孔虹膜11	416	192	96	96	0	0	256	1	0	0	
1	2	13	data\source\player\F2\部件\Texture\face\F2_瞳孔012.tga	M2右瞳孔虹膜12	416	192	96	96	0	0	256	1	0	0	
1	2	14	data\source\player\F2\部件\Texture\face\F2_瞳孔013.tga	M2右瞳孔虹膜13	416	192	96	96	0	0	256	1	0	0	
1	2	15	data\source\player\F2\部件\Texture\face\F2_瞳孔014.tga	M2右瞳孔虹膜14	416	192	96	96	0	0	256	1	0	0	
1	2	16	data\source\player\F2\部件\Texture\face\F2_瞳孔015.tga	M2右瞳孔虹膜15	416	192	96	96	0	0	256	1	0	0	
1	2	17	data\source\player\F2\部件\Texture\face\F2_瞳孔016.tga	M2右瞳孔虹膜16	416	192	96	96	0	0	256	1	0	0	
1	3	1	data\source\player\m2\部件\texture\face\m2_眼影001.tga	M2眼影001	272	270	96	64	1	0	256	1	0	0	
1	3	2	data\source\player\m2\部件\texture\face\m2_眼影002.tga	M2眼影002	273	270	96	64	1	0	256	1	0	0	
1	3	3	data\source\player\m2\部件\texture\face\m2_眼影003.tga	M2眼影003	273	271	96	64	1	0	256	1	0	0	
1	3	4	data\source\player\f2\部件\texture\face\f2_眼影_004.tga	M2眼影004	264	267	128	96	1	0	256	1	0	0	
1	3	5	data\source\player\f2\部件\texture\face\f2_眼影_005.tga	M2眼影005	261	270	128	96	1	0	256	1	0	0	
1	3	6	data\source\player\f2\部件\texture\face\f2_眼影_006.tga	M2眼影006	258	267	128	96	1	0	256	1	0	0	
1	3	7	data\source\player\f2\部件\texture\face\f2_眼影_007.tga	M2眼影007	267	265	128	96	1	0	256	1	0	0	
1	3	8	data\source\player\f2\部件\texture\face\f2_眼影_008.tga	M2眼影008	263	267	128	96	1	0	256	1	0	0	
1	3	9	data\source\player\f2\部件\texture\face\f2_眼影_009.tga	M2眼影009	267	267	128	96	1	0	256	1	0	0	
1	4	1	data\source\player\m2\部件\texture\face\m2_眼线_001a.tga	[默认]M2眼线001	272	272	96	64	1	0	256	1	0	0	
1	4	2	data\source\player\m2\部件\texture\face\m2_眼线_001a.tga	M2眼线001	272	272	96	64	1	0	256	1	0	0	
1	4	3	data\source\player\m2\部件\texture\face\m2_眼线_002.tga	M2眼线002	272	272	96	64	1	0	256	1	0	0	
1	4	4	data\source\player\m2\部件\texture\face\m2_眼线_003.tga	M2眼线003	272	272	96	64	1	0	256	1	0	0	
1	4	5	data\source\player\m2\部件\texture\face\m2_眼线_004.tga	M2眼线004	272	272	96	64	1	0	256	1	0	0	
1	4	6	data\source\player\m2\部件\texture\face\m2_眼线_005.tga	M2眼线005	272	272	96	64	1	0	256	1	0	0	
1	4	7	data\source\player\m2\部件\texture\face\m2_眼线_006.tga	M2眼线006	272	272	96	64	1	0	256	1	0	0	
1	4	8	data\source\player\m2\部件\texture\face\m2_眼线_007.tga	M2眼线007	272	272	96	64	1	0	256	1	0	0	
1	4	9	data\source\player\m2\部件\texture\face\m2_眼线_008.tga	M2眼线008	272	272	96	64	1	0	256	1	0	0	
1	4	10	data\source\player\m2\部件\texture\face\m2_眼线_009.tga	M2眼线009	272	272	96	64	1	0	256	1	0	0	
1	4	11	data\source\player\m2\部件\texture\face\m2_眼线_010.tga	M2眼线010	272	272	96	64	1	0	256	1	0	0	
1	4	12	data\source\player\m2\部件\texture\face\m2_眼线_011.tga	M2眼线011	272	272	96	64	1	0	256	1	0	0	
1	5	1	data\source\player\m2\部件\texture\face\m2_眉毛_001.tga	[默认]M2眉毛001	256	256	128	64	1	0	256	1	0	0	
1	5	2	data\source\player\m2\部件\texture\face\m2_眉毛_001.tga	M2眉毛001	256	256	128	64	1	0	256	1	0	0	
1	5	3	data\source\player\m2\部件\texture\face\m2_眉毛_002.tga	M2眉毛002	256	256	128	64	1	0	256	1	0	0	
1	5	4	data\source\player\m2\部件\texture\face\m2_眉毛_003.tga	M2眉毛003	256	256	128	64	1	0	256	1	0	0	
1	5	5	data\source\player\m2\部件\texture\face\m2_眉毛_004.tga	M2眉毛004	256	256	128	64	1	0	256	1	0	0	
1	5	6	data\source\player\m2\部件\texture\face\m2_眉毛_005.tga	M2眉毛005	256	256	128	64	1	0	256	1	0	0	
1	5	7	data\source\player\m2\部件\texture\face\m2_眉毛_006.tga	M2眉毛006	256	256	128	64	1	0	256	1	0	0	
1	5	8	data\source\player\m2\部件\texture\face\m2_眉毛_007.tga	M2眉毛007	256	256	128	64	1	0	256	1	0	0	
1	5	9	data\source\player\m2\部件\texture\face\m2_眉毛_008.tga	M2眉毛008	256	240	128	80	1	0	256	1	0	0	
1	5	10	data\source\player\m2\部件\texture\face\m2_眉毛_009.tga	M2眉毛009	256	256	128	64	1	0	256	1	0	0	
1	5	11	data\source\player\m2\部件\texture\face\m2_眉毛_010.tga	M2眉毛010	256	256	128	64	1	0	256	1	0	0	
1	5	12	data\source\player\m2\部件\texture\face\m2_眉毛_011.tga	M2眉毛011	256	240	128	80	1	0	256	1	0	0	
1	5	13	data\source\player\m2\部件\texture\face\m2_眉毛_012.tga	M2眉毛012	256	256	128	64	1	0	256	1	0	0	
1	5	14	data\source\player\m2\部件\texture\face\m2_眉毛_013.tga	M2眉毛013	256	256	128	64	1	0	256	1	0	0	
1	5	15	data\source\player\m2\部件\texture\face\m2_眉毛_004.tga	M2眉毛014	256	256	128	64	1	0	256	1	0	0	
1	5	16	data\source\player\m2\部件\texture\face\m2_眉毛_011.tga	M2眉毛015	256	240	128	80	1	0	256	1	0	0	
1	5	17	data\source\player\m2\部件\texture\face\m2_眉毛_002.tga	M2眉毛016	256	256	128	64	1	0	256	1	0	0	
1	5	18	data\source\player\m2\部件\texture\face\m2_眉毛_008.tga	M2眉毛017	256	240	128	80	1	0	256	1	0	0	
1	5	19	data\source\player\m2\部件\texture\face\m2_眉毛_006.tga	M2眉毛018	256	256	128	64	1	0	256	1	0	0	
1	5	20	data\source\player\m2\部件\texture\face\m2_眉毛_014.tga	[默认]M2眉毛001	249	261	128	64	1	0	256	1	0	0	
1	5	21	data\source\player\F2\部件\Texture\face\F2_眉毛_016.tga	M2眉毛019	256	256	128	64	1	0	256	1	0	0	
1	5	22	data\source\player\F2\部件\Texture\face\F2_眉毛_017.tga	M2眉毛020	257	257	128	64	1	0	256	1	0	0	
1	5	23	data\source\player\F2\部件\Texture\face\F2_眉毛_018.tga	M2眉毛021	256	258	128	64	1	0	256	1	0	0	
1	5	24	data\source\player\F2\部件\Texture\face\F2_眉毛_019.tga	M2眉毛022	259	251	128	64	1	0	256	1	0	0	
1	5	25	data\source\player\F2\部件\Texture\face\F2_眉毛_020.tga	M2眉毛023	256	256	128	64	1	0	256	1	0	0	
1	6	1	data\source\player\m2\部件\texture\face\m2_胡须_001.tga	M2胡须01	256	256	192	256	1	0	256	1	0	0	
1	6	2	data\source\player\m2\部件\texture\face\m2_胡须_002.tga	M2胡须02	256	256	192	256	1	0	256	1	0	0	
1	6	3	data\source\player\m2\部件\texture\face\m2_胡须_003.tga	M2胡须03	256	256	192	256	1	0	256	1	0	0	
1	6	4	data\source\player\m2\部件\texture\face\m2_胡须_004.tga	M2胡须04	256	256	192	256	1	0	256	1	0	0	
1	6	5	data\source\player\m2\部件\texture\face\m2_胡须_005.tga	M2胡须05	256	256	192	256	1	0	256	1	0	0	
1	6	6	data\source\player\m2\部件\texture\face\m2_胡须_006.tga	M2胡须06	256	256	192	256	1	0	256	1	0	0	
1	6	7	data\source\player\m2\部件\texture\face\m2_胡须_007.tga	M2胡须07	256	256	192	256	1	0	256	1	0	0	
1	6	8	data\source\player\m2\部件\texture\face\m2_胡须_008.tga	M2胡须08	256	256	192	256	1	0	256	1	0	0	
1	6	9	data\source\player\m2\部件\texture\face\m2_胡须_009.tga	M2胡须09	256	256	192	256	1	0	256	1	0	0	
1	6	10	data\source\player\m2\部件\texture\face\m2_胡须_010.tga	M2胡须10	256	256	192	256	1	0	256	1	0	0	
1	6	11	data\source\player\m2\部件\texture\face\m2_胡须_011.tga	M2胡须11	256	256	192	256	1	0	256	1	0	0	
1	6	12	data\source\player\m2\部件\texture\face\m2_胡须_012.tga	M2胡须12	256	256	192	256	1	0	256	1	0	0	
1	6	13	data\source\player\m2\部件\texture\face\m2_胡须_013.tga	M2胡须13	256	256	192	256	1	0	256	1	0	0	
1	6	14	data\source\player\m2\部件\texture\face\m2_胡须_014.tga	M2胡须14	256	256	192	256	1	0	256	1	0	0	
1	6	15	data\source\player\m2\部件\texture\face\m2_胡须_015.tga	M2胡须15	256	256	192	256	1	0	256	1	0	0	
1	6	16	data\source\player\m2\部件\texture\face\m2_胡须_016.tga	M2胡须16	256	256	192	256	1	0	256	1	0	0	
1	6	17	data\source\player\m2\部件\texture\face\m2_胡须_017.tga	M2胡须17	256	256	192	256	1	0	256	1	0	0	
1	6	18	data\source\player\m2\部件\texture\face\f2_腮红_002.tga	酒糟鼻	178	281	160	160	0	0	256	1	0	0	
1	7	1	data\source\player\m2\部件\texture\face\m2_唇彩_001.tga	[默认]M2唇彩001	192	384	128	96	0	0	256	1	1	0	data\source\player\M2\部件\Texture\face\M2_偏光_001.tga
1	7	2	data\source\player\m2\部件\texture\face\m2_唇彩_001.tga	M2唇彩001	192	384	128	96	0	0	256	1	1	0	data\source\player\M2\部件\Texture\face\M2_偏光_001.tga
1	7	3	data\source\player\m2\部件\texture\face\m2_唇彩_002.tga	M2唇彩002	192	384	128	96	0	0	256	1	1	0	data\source\player\M2\部件\Texture\face\M2_偏光_002.tga
1	7	4	data\source\player\m2\部件\texture\face\m2_唇彩_003.tga	M2唇彩003	192	384	128	96	0	0	256	1	1	0	data\source\player\M2\部件\Texture\face\M2_偏光_003.tga
1	7	5	data\source\player\m2\部件\texture\face\m2_唇彩_004.tga	M2唇彩004	192	384	128	96	0	0	256	1	1	0	data\source\player\M2\部件\Texture\face\M2_偏光_004.tga
1	7	6	data\source\player\m2\部件\texture\face\m2_唇彩_005.tga	M2唇彩005	192	384	128	96	0	0	256	1	1	0	data\source\player\M2\部件\Texture\face\M2_偏光_005.tga
1	7	7	data\source\player\m2\部件\texture\face\m2_唇彩_006.tga	M2唇彩006	192	384	128	96	0	0	256	1	1	0	data\source\player\M2\部件\Texture\face\M2_偏光_006.tga
1	7	8	data\source\player\m2\部件\texture\face\m2_唇彩_007.tga	M2唇彩007	192	384	128	96	0	0	256	1	1	0	data\source\player\M2\部件\Texture\face\M2_偏光_007.tga
1	7	9	data\source\player\m2\部件\texture\face\m2_唇彩_008.tga	M2唇彩008	192	384	128	96	0	0	256	1	1	0	data\source\player\M2\部件\Texture\face\M2_偏光_008.tga
1	7	10	data\source\player\m2\部件\texture\face\m2_唇彩_009.tga	M2唇彩009	192	384	128	96	0	0	256	1	1	0	data\source\player\M2\部件\Texture\face\M2_偏光_009.tga
1	7	11	data\source\player\m2\部件\texture\face\m2_唇彩_010.tga	M2唇彩010	192	384	128	96	0	0	256	1	1	0	data\source\player\M2\部件\Texture\face\M2_偏光_010.tga
1	7	12	data\source\player\m2\部件\texture\face\m2_唇彩_011.tga	M2唇彩011	192	384	128	96	0	0	256	1	1	0	data\source\player\M2\部件\Texture\face\M2_偏光_011.tga
1	7	13	data\source\player\m2\部件\texture\face\m2_唇彩_012.tga	M2唇彩012	192	384	128	96	0	0	256	1	1	0	data\source\player\M2\部件\Texture\face\M2_偏光_012.tga
1	8	1	data\source\player\f2\部件\texture\face\f2_眼神光001.tga	[默认]M2眼神光1	0	192	508	96	0	0	256	1	0	0	
1	8	2	data\source\player\f2\部件\texture\face\f2_眼神光001.tga	M2眼神光1	0	192	508	96	0	0	256	1	0	0	
1	8	3	data\source\player\f2\部件\texture\face\f2_眼神光002.tga	M2眼神光2	0	192	508	96	0	0	256	1	0	0	
1	8	4	data\source\player\f2\部件\texture\face\f2_眼神光003.tga	M2眼神光3	0	192	508	96	0	0	256	1	0	0	
1	8	5	data\source\player\f2\部件\texture\face\f2_眼神光004.tga	M2眼神光4	0	192	508	96	0	0	256	1	0	0	
1	8	6	data\source\player\f2\部件\texture\face\f2_眼神光005.tga	M2眼神光5	0	192	508	96	0	0	256	1	0	0	
1	8	7	data\source\player\f2\部件\texture\face\f2_眼神光006.tga	M2眼神光6	0	192	508	96	0	0	256	1	0	0	
1	8	8	data\source\player\f2\部件\texture\face\f2_眼神光007.tga	M2眼神光7	0	192	508	96	0	0	256	1	0	0	
1	8	9	data\source\player\f2\部件\texture\face\f2_眼神光008.tga	M2眼神光8	0	192	508	96	0	0	256	1	0	0	
1	8	10	data\source\player\f2\部件\texture\face\f2_眼神光009.tga	M2眼神光9	0	192	508	96	0	0	256	1	0	0	
1	8	11	data\source\player\f2\部件\texture\face\f2_眼神光010.tga	M2眼神光10	0	192	508	96	0	0	256	1	0	0	
1	8	12	data\source\player\f2\部件\texture\face\f2_眼神光011.tga	M2眼神光11	0	192	508	96	0	0	256	1	0	0	
1	8	13	data\source\player\f2\部件\texture\face\f2_眼神光012.tga	M2眼神光12	0	192	508	96	0	0	256	1	0	0	
1	8	14	data\source\player\f2\部件\texture\face\f2_眼神光013.tga	M2眼神光13	0	192	508	96	0	0	256	1	0	0	
1	9	1	data\source\texture\face\贴花_额饰01.tga	额饰01	192	210	128	128	0	0	256	1	0	0	
1	9	2	data\source\texture\face\贴花_额饰03.tga	额饰03	192	210	128	128	0	0	256	1	0	0	
1	9	3	data\source\texture\face\贴花_额饰04.tga	额饰04	192	219	128	128	0	0	256	1	0	0	
1	9	4	data\source\texture\face\贴花_额饰06.tga	额饰06	191	219	128	128	0	0	256	1	0	0	
1	9	5	data\source\texture\face\贴花_额饰09.tga	额饰09	191	203	128	128	0	0	256	1	0	0	
1	9	6	data\source\texture\face\贴花_额饰10.tga	额饰10	231	242	64	64	0	0	256	1	0	0	
1	9	7	data\source\texture\face\贴花_额饰11.tga	额饰11	206	224	96	96	0	0	256	1	0	0	
1	9	8	data\source\texture\face\贴花_额饰12.tga	额饰12	224	240	64	160	0	0	256	1	0	0	
1	9	9	data\source\texture\face\贴花_刀疤01.tga	刀疤01	261	215	128	192	0	0	256	1	0	0	
1	9	10	data\source\texture\face\贴花_刀疤01.tga	刀疤01_翻转	261	215	128	192	0	0	256	1	0	1	
1	9	11	data\source\texture\face\贴花_刀疤02.tga	刀疤02	279	267	128	192	0	0	256	1	0	0	
1	9	12	data\source\texture\face\贴花_刀疤02.tga	刀疤02_翻转	279	267	128	192	0	0	256	1	0	1	
1	9	13	data\source\texture\face\贴花_刀疤03.tga	刀疤03	197	325	128	64	0	0	256	1	0	0	
1	9	14	data\source\texture\face\贴花_刀疤04.tga	刀疤04	210	206	128	192	0	0	256	1	0	0	
1	9	15	data\source\texture\face\贴花_刀疤04.tga	刀疤04_翻转	210	206	128	192	0	0	256	1	0	1	
1	9	16	data\source\texture\face\贴花_花_心01.tga	心	267	290	128	128	0	0	256	1	0	0	
1	9	17	data\source\texture\face\贴花_花_心01.tga	心_翻转	267	290	128	128	0	0	256	1	0	1	
1	9	18	data\source\texture\face\贴花_花04.tga	花04	286	265	96	96	0	0	256	1	0	0	
1	9	19	data\source\texture\face\贴花_花04.tga	花04_翻转	286	265	96	96	0	0	256	1	0	1	
1	9	20	data\source\texture\face\贴花_花05.tga	花05	286	265	128	128	0	0	256	1	0	0	
1	9	21	data\source\texture\face\贴花_花05.tga	花05_翻转	286	265	128	128	0	0	256	1	0	1	
1	9	22	data\source\texture\face\贴花_花06.tga	花06	267	217	96	96	0	0	256	1	0	0	
1	9	23	data\source\texture\face\贴花_花06.tga	花06_翻转	267	217	96	96	0	0	256	1	0	1	
1	9	24	data\source\texture\face\贴花_泪02.tga	泪变额饰	224	240	64	64	0	0	256	1	0	0	
1	9	25	data\source\texture\face\贴花_泪01.tga	泪01	240	267	128	128	0	0	256	1	0	0	
1	9	26	data\source\texture\face\贴花_泪01.tga	泪01_翻转	240	267	128	128	0	0	256	1	0	1	
1	9	27	data\source\texture\face\贴花_泪02.tga	泪2	288	315	64	64	0	0	256	1	0	0	
1	9	28	data\source\texture\face\贴花_泪02.tga	泪2_翻转	288	315	64	64	0	0	256	1	0	1	
1	9	29	data\source\texture\face\贴花_泪03.tga	泪3	240	267	128	192	0	0	256	1	0	0	
1	9	30	data\source\texture\face\贴花_泪03.tga	泪3_翻转	240	267	128	192	0	0	256	1	0	1	
1	9	31	data\source\texture\face\贴花_脸横线01.tga	横线01	279	283	128	128	1	0	256	1	0	0	
1	9	32	data\source\texture\face\贴花_脸横线02.tga	横线02	274	288	128	64	1	0	256	1	0	0	
1	9	33	data\source\texture\face\贴花_脸横线03.tga	横线03	272	267	128	96	1	0	256	1	0	0	
1	9	34	data\source\texture\face\贴花_脸竖线01.tga	竖线01	261	226	128	256	0	0	256	1	0	0	
1	9	35	data\source\texture\face\贴花_脸竖线01.tga	竖线01_翻转	261	226	128	256	0	0	256	1	0	1	
1	9	36	data\source\texture\face\贴花_脸竖线01.tga	竖线01_镜像	261	226	128	256	1	0	256	1	0	0	
1	9	37	data\source\texture\face\贴花_眉饰01.tga	眉饰01	245	242	64	64	1	0	256	1	0	0	
1	9	38	data\source\texture\face\贴花_眉饰02.tga	眉饰02	253	210	72	256	1	0	251	1	0	0	
1	9	39	data\source\texture\face\贴花_文字_发.tga	发	227	235	64	64	0	0	256	1	0	0	
1	9	40	data\source\texture\face\贴花_文字_囚.tga	囚	176	219	64	64	0	0	256	1	0	0	
1	9	41	data\source\texture\face\贴花_文字_死.tga	死	146	329	64	64	0	0	256	1	0	0	
1	9	42	data\source\texture\face\贴花_文字玩.tga	玩	290	331	64	64	0	0	256	1	0	0	
1	9	43	data\source\texture\face\贴花_纹身_001.tga	纹身01	277	251	192	192	0	0	256	1	0	0	
1	9	44	data\source\texture\face\贴花_纹身_001.tga	纹身01_翻转	277	251	192	192	0	0	256	1	0	1	
1	9	45	data\source\texture\face\贴花_纹身_凤01.tga	纹身_凤01	137	190	240	288	0	0	256	1	0	0	
1	9	46	data\source\texture\face\贴花_纹身_龙01.tga	纹身龙01	55	222	256	192	0	0	256	1	0	0	
1	9	47	data\source\texture\face\贴花_纹身_龙01.tga	纹身龙01_翻转	55	222	256	192	0	0	256	1	0	1	
1	9	48	data\source\texture\face\贴花_纹身_龙02.tga	纹身龙02	266	200	192	256	0	0	256	1	0	0	
1	9	49	data\source\texture\face\贴花_纹身_龙02.tga	纹身龙02_翻转	266	200	192	256	0	0	256	1	0	1	
1	9	50	data\source\texture\face\贴花_纹身002.tga	纹身02	272	247	192	256	0	0	256	1	0	0	
1	9	51	data\source\texture\face\贴花_纹身002.tga	纹身02_翻转	272	247	192	256	0	0	256	1	0	1	
1	9	52	data\source\texture\face\贴花_图案_草01.tga	草	261	224	192	256	0	0	256	1	0	0	
1	9	53	data\source\texture\face\贴花_图案_草01.tga	草_翻转	261	224	192	256	0	0	256	1	0	1	
1	9	54	data\source\texture\face\贴花_其他02.tga	翅膀	251	142	192	256	0	0	256	1	0	0	
1	9	55	data\source\texture\face\贴花_其他02.tga	翅膀_翻转	251	142	192	256	0	0	256	1	0	1	
1	9	56	data\source\texture\face\贴花_脸谱01.tga	秦腔	256	222	160	288	1	0	256	1	0	0	
1	9	57	data\source\texture\face\贴花_熊猫眼01.tga	熊猫眼01	256	242	192	192	1	0	288	1	0	0	
1	9	58	data\source\texture\face\贴花_挨打02.tga	挨打	117	217	272	272	0	0	256	1	0	0	
1	9	59	data\source\texture\face\贴花_刀疤05.tga	刀疤05	162	228	256	192	0	0	256	1	0	0	
1	9	60	data\source\texture\face\贴花_血迹01.tga	血迹01	240	267	256	192	0	0	256	1	0	0	
1	9	61	data\source\texture\face\贴花_血迹01.tga	血迹01_翻转	240	267	256	192	0	0	256	1	0	1	
1	9	62	data\source\texture\face\贴花_额饰13眼睛.tga	额饰_13眼睛	220	229	64	64	0	0	256	1	0	0	
1	9	63	data\source\texture\face\贴花_拆01.tga	拆	174	231	256	256	0	0	256	1	0	0	
1	9	64	data\source\texture\face\贴花_小哈01.tga	小哈	255	146	136	256	1	0	256	1	0	0	
1	9	65	data\source\texture\face\贴花_刀疤06.tga	刀疤06	261	370	64	128	0	0	256	1	0	0	
1	9	66	data\source\texture\face\贴花_刀疤06.tga	刀疤06_翻转	261	370	64	128	0	0	256	1	0	1	
1	9	67	data\source\texture\face\贴花_手印01.tga	手印	55	286	256	192	0	0	256	1	0	0	
1	9	68	data\source\texture\face\贴花_脚印01.tga	脚印	162	229	192	224	0	0	256	1	0	0	
1	9	69	data\source\texture\face\贴花_白眼伪.tga	白眼伪	254	206	192	256	1	0	256	1	0	0	
1	9	70	data\source\texture\face\贴花_咬肌01.tga	咬肌	238	347	192	128	0	0	256	1	0	0	
1	9	71	data\source\texture\face\贴花_咬肌01.tga	咬肌_翻转	238	347	192	128	0	0	256	1	0	1	
1	9	72	data\source\texture\face\贴花_额饰15.tga	额饰15	255	190	112	160	1	0	256	1	0	0	
1	9	73	data\source\texture\face\贴花_北斗01成男.tga	北斗星	162	229	192	224	0	0	256	1	0	0	
1	9	74	data\source\texture\face\贴花_北斗02.tga	北斗伤	162	229	192	224	0	0	256	1	0	0	
1	9	75	data\source\texture\face\贴花_雀斑01.tga	雀斑	162	267	192	128	0	0	256	1	0	0	
1	9	76	data\source\texture\face\贴花_眼部竖线01.tga	眼竖线	274	254	64	96	0	0	256	1	0	0	
1	9	77	data\source\texture\face\贴花_眼部竖线01.tga	眼竖线_翻转	274	254	64	96	0	0	256	1	0	1	
1	9	78	data\source\texture\face\贴花_眼部竖线01.tga	眼竖线_对称	274	254	64	96	1	0	256	1	0	0	
1	9	79	data\source\texture\face\贴花_星星竖线.tga	星星竖线	279	226	96	256	0	0	256	1	0	0	
1	9	80	data\source\texture\face\贴花_星星竖线.tga	星星竖线_翻转	279	226	96	256	0	0	256	1	0	1	
1	9	81	data\source\texture\face\贴花_额饰16眼睛.tga	额饰_16眼睛	224	210	64	128	0	0	256	1	0	0	
