RoleType	FilePath	Icon	Name	Des	IsDefault	CanUseInCreate
6	Data\public\Face\F1\F1_060.ini	14768			0	0
6	Data\public\Face\F1\F1_061.ini	14769			0	0
6	Data\public\Face\F1\F1_059.ini	14620			0	0
6	Data\public\Face\F1\F1_057.ini	13818	七夕妆容花西子·比翼相思		0	0
6	Data\public\Face\F1\F1_058.ini	13819			0	0
6	Data\public\Face\F1\F1_055.ini	12889			0	0
6	Data\public\Face\F1\F1_056.ini	12890			0	0
6	Data\public\Face\F1\F1_034.ini	10100	小橘喵by卡卡	2018年“大美江湖”全民征集活动风华绝代奖	0	0
6	Data\public\Face\F1\F1_035.ini	10099	蒜蒜by糯米	2018年“大美江湖”全民征集活动名扬天下奖	0	0
6	Data\public\Face\F1\F1_036.ini	10098	小红眼by初衣	2018年“大美江湖”全民征集活动名扬天下奖	0	0
6	Data\public\Face\F1\F1_037.ini	10103	雪衣by桃露	2018年“大美江湖”全民征集活动名扬天下奖	0	0
6	Data\public\Face\F1\F1_038.ini	10102	星辰大海by秋秋	2018年“大美江湖”全民征集活动名扬天下奖	0	0
6	Data\public\Face\F1\F1_039.ini	10101	酸溜溜by警觉的秀萝大哥	2018年“大美江湖”全民征集活动名扬天下奖	0	0
6	Data\public\Face\F1\F1_031.ini	9933	青黛by清蒸蒸QwQ（二等奖)	寄语：青黛画眉红锦靴，道字不正娇唱歌。玳瑁筵中怀里醉，芙蓉帐底奈君何。	0	0
6	Data\public\Face\F1\F1_032.ini	9934	圆嘟嘟by慢慢的粉条君（三等奖）	寄语： 这是一个小圆脸的萝莉，乖巧可爱，很有特色。虽然脸超圆，但谁让她是圆嘟嘟呢！	0	0
6	Data\public\Face\F1\F1_033.ini	9935	雪见by三次元才不绝望呢（三等奖)	寄语：雪见是十一月的别称，到了这时候天地间会突然变的寂静，有种在等待一场大雪的感觉。	0	0
6	Data\public\Face\F1\F1_040.ini	10648			0	1
6	Data\public\Face\F1\F1_041.ini	10649			0	1
6	Data\public\Face\F1\F1_042.ini	10650			0	1
6	Data\public\Face\F1\F1_044.ini	10652			0	1
6	Data\public\Face\F1\F1_045.ini	10653			0	1
6	Data\public\Face\F1\F1_046.ini	10654			0	1
6	Data\public\Face\F1\F1_047.ini	10655			0	1
6	Data\public\Face\F1\F1_048.ini	10656			0	1
6	Data\public\Face\F1\F1_049.ini	10657			0	1
6	Data\public\Face\F1\F1_050.ini	10658			0	1
6	Data\public\Face\F1\F1_051.ini	10659			0	1
6	Data\public\Face\F1\F1_052.ini	10660			0	1
6	Data\public\Face\F1\F1_053.ini	10661			0	1
6	Data\public\Face\F1\F1_054.ini	10662			0	1
