RoleType	Type	Name	HighlightModel
1	160	眼睛上旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeGrp_hd.mesh
1	185	左右偏移	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeBall_hd.mesh
1	186	上下偏移	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeBall_hd.mesh
1	179	上睫毛外旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeLashU_hd.mesh
1	180	上睫毛上旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeLashU_hd.mesh
1	181	上睫毛侧旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeLashU_hd.mesh
1	176	下睫毛长短	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeLashD_hd.mesh
1	182	下睫毛外旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeLashD_hd.mesh
1	183	下睫毛上旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeLashD_hd.mesh
1	184	下睫毛侧旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeLashD_hd.mesh
1	150	上眼皮间距	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeU_hd.mesh
1	151	上眼皮开合	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeU_hd.mesh
1	161	上眼皮侧旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeU_hd.mesh
1	152	下眼皮间距	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeD_hd.mesh
1	153	下眼皮开合	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeD_hd.mesh
1	163	下眼皮侧旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeD_hd.mesh
1	154	内眼角左右	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeI_hd.mesh
1	155	内眼角上下	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeI_hd.mesh
1	156	外眼角左右	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeO_hd.mesh
1	157	外眼角上下	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeO_hd.mesh
1	68	鼻子长短	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseGrp_hd.mesh
1	67	鼻子高矮	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseGrp_hd.mesh
1	78	鼻子偏斜	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseGrp_hd.mesh
1	92	鼻梁宽度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseBridge_hd.mesh
1	75	鼻梁高度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseBridge_hd.mesh
1	83	鼻梁弧度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseBridge_hd.mesh
1	94	鼻梁凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseBridge_hd.mesh
1	88	鼻尖宽度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseTip_hd.mesh
1	70	鼻尖高度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseTip_hd.mesh
1	69	鼻尖凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseTip_hd.mesh
1	79	鼻尖弧度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseTip_hd.mesh
1	71	鼻翼宽度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseEdge_hd.mesh
1	73	鼻翼高度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseEdge_hd.mesh
1	72	鼻翼凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseEdge_hd.mesh
1	80	鼻翼外旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseEdge_hd.mesh
1	81	鼻翼上旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseEdge_hd.mesh
1	82	鼻翼侧旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseEdge_hd.mesh
1	87	鼻底高度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseBottom_hd.mesh
1	95	鼻底宽度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseBottom_hd.mesh
1	76	鼻底凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseBottom_hd.mesh
1	84	鼻底弧度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_NoseBottom_hd.mesh
1	98	嘴部高低	data\public\FaceMeta\M2\部件\M2_facemeta_parts_MouthGrp_hd.mesh
1	97	嘴部凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_MouthGrp_hd.mesh
1	116	嘴部倾斜	data\public\FaceMeta\M2\部件\M2_facemeta_parts_MouthGrp_hd.mesh
1	130	嘴部宽窄	data\public\FaceMeta\M2\部件\M2_facemeta_parts_MouthGrp_hd.mesh
1	132	嘴唇厚度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_MouthGrp_hd.mesh
1	135	上唇厚度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_UPMouthGrp_hd.mesh
1	99	上唇凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_UPMouthGrp_hd.mesh
1	117	上唇上旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_UPMouthGrp_hd.mesh
1	137	上唇中宽窄	data\public\FaceMeta\M2\部件\M2_facemeta_parts_UpMouthM_hd.mesh
1	139	上唇中厚度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_UpMouthM_hd.mesh
1	107	上唇中高度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_UpMouthM_hd.mesh
1	106	上唇中凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_UpMouthM_hd.mesh
1	122	上唇中上旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_UpMouthM_hd.mesh
1	108	上唇两侧宽窄	data\public\FaceMeta\M2\部件\M2_facemeta_parts_UpMouthSide_hd.mesh
1	110	上唇两侧高度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_UpMouthSide_hd.mesh
1	109	上唇两侧凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_UpMouthSide_hd.mesh
1	123	上唇两侧外旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_UpMouthSide_hd.mesh
1	124	上唇两侧侧旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_UpMouthSide_hd.mesh
1	136	下唇厚度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_DMouthGrp_hd.mesh
1	102	下唇高度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_DMouthGrp_hd.mesh
1	100	下唇凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_DMouthGrp_hd.mesh
1	118	下唇上旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_DMouthGrp_hd.mesh
1	144	下唇中厚度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_DMouthM_hd.mesh
1	112	下唇中高度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_DMouthM_hd.mesh
1	111	下唇中凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_DMouthM_hd.mesh
1	126	下唇中上旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_DMouthM_hd.mesh
1	113	下唇两侧宽窄	data\public\FaceMeta\M2\部件\M2_facemeta_parts_DMouthSide_hd.mesh
1	115	下唇两侧高度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_DMouthSide_hd.mesh
1	114	下唇两侧凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_DMouthSide_hd.mesh
1	127	下唇两侧外旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_DMouthSide_hd.mesh
1	128	下唇两侧侧旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_DMouthSide_hd.mesh
1	105	嘴角高度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Modiolus_hd.mesh
1	103	嘴角间距	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Modiolus_hd.mesh
1	104	嘴角凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Modiolus_hd.mesh
2	37	面部宽窄	data\public\FaceMeta\F2\部件\F2_facemeta_parts_FaceGrp_hd.mesh
2	1	面部长短	data\public\FaceMeta\F2\部件\F2_facemeta_parts_FaceGrp_hd.mesh
2	171	上部高低	data\public\FaceMeta\F2\部件\F2_facemeta_parts_FaceGrpU_hd.mesh
2	86	中庭长短	data\public\FaceMeta\F2\部件\F2_facemeta_parts_FaceGrpM_hd.mesh
2	0	饱满程度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_ForeHead_hd.mesh
2	19	倾斜程度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_ForeHead_hd.mesh
2	9	颧骨高低	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Malar_hd.mesh
2	7	颧骨宽窄	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Malar_hd.mesh
2	8	颧骨凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Malar_hd.mesh
2	24	颧骨外旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Malar_hd.mesh
2	25	颧骨侧旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Malar_hd.mesh
2	26	颧骨上旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Malar_hd.mesh
2	4	苹果肌高低	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Apple_hd.mesh
2	2	苹果肌宽窄	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Apple_hd.mesh
2	3	苹果肌凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Apple_hd.mesh
2	20	苹果肌外旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Apple_hd.mesh
2	21	苹果肌侧旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Apple_hd.mesh
2	22	苹果肌上旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Apple_hd.mesh
2	10	脸颊胖瘦	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Cheek_hd.mesh
2	133	上颌凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Maxillary_hd.mesh
2	101	上颌宽窄	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Maxillary_hd.mesh
2	14	下颌突出	data\public\FaceMeta\F2\部件\F2_facemeta_parts_ChinBottom_hd.mesh
2	15	下颌轮廓	data\public\FaceMeta\F2\部件\F2_facemeta_parts_ChinBottom_hd.mesh
2	13	下颌宽窄	data\public\FaceMeta\F2\部件\F2_facemeta_parts_ChinBottom_hd.mesh
2	44	下颌厚度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_ChinBottom_hd.mesh
2	43	下颌底厚度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_ChinBottom_hd.mesh
2	40	下颌角高低	data\public\FaceMeta\F2\部件\F2_facemeta_parts_ChinEdge_hd.mesh
2	6	下巴长短	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Chin_hd.mesh
2	31	下巴宽度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Chin_hd.mesh
2	5	下巴凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Chin_hd.mesh
2	23	下巴弧度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Chin_hd.mesh
2	33	下巴厚度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Chin_hd.mesh
2	45	眉弓高低	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyebrowGrp_hd.mesh
2	46	眉弓间距	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyebrowGrp_hd.mesh
2	47	眉弓外凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyebrowGrp_hd.mesh
2	49	眉毛长短	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyebrowGrp_hd.mesh
2	63	眉毛粗细	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyebrowGrp_hd.mesh
2	60	眉弓翘度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Eyebrow_hd.mesh
2	48	眉头弯折	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyebrowStart_hd.mesh
2	51	眉尾弯折	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyebrowEnd_hd.mesh
2	50	眉尾凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyebrowEnd_hd.mesh
2	53	眉心凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyebrowMiddle_hd.mesh
2	149	眼部高低	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeGrp_hd.mesh
2	147	眼部间距	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeGrp_hd.mesh
2	148	眼部深浅	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeGrp_hd.mesh
2	170	眼睛大小	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeGrp_hd.mesh
2	172	眼睛开合	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeGrp_hd.mesh
2	158	整体侧旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeGrp_hd.mesh
2	159	整体外旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeGrp_hd.mesh
2	160	眼睛上旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeGrp_hd.mesh
2	185	左右偏移	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeBall_hd.mesh
2	186	上下偏移	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeBall_hd.mesh
2	179	上睫毛外旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeLashU_hd.mesh
2	180	上睫毛上旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeLashU_hd.mesh
2	181	上睫毛侧旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeLashU_hd.mesh
2	176	下睫毛长短	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeLashD_hd.mesh
2	182	下睫毛外旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeLashD_hd.mesh
2	183	下睫毛上旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeLashD_hd.mesh
2	184	下睫毛侧旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeLashD_hd.mesh
2	150	上眼皮间距	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeU_hd.mesh
2	151	上眼皮开合	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeU_hd.mesh
2	161	上眼皮侧旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeU_hd.mesh
2	152	下眼皮间距	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeD_hd.mesh
2	153	下眼皮开合	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeD_hd.mesh
2	163	下眼皮侧旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeD_hd.mesh
2	154	内眼角左右	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeI_hd.mesh
2	155	内眼角上下	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeI_hd.mesh
2	156	外眼角左右	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeO_hd.mesh
2	157	外眼角上下	data\public\FaceMeta\F2\部件\F2_facemeta_parts_EyeO_hd.mesh
2	68	鼻子长短	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseGrp_hd.mesh
2	67	鼻子高矮	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseGrp_hd.mesh
2	78	鼻子偏斜	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseGrp_hd.mesh
2	92	鼻梁宽度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseBridge_hd.mesh
2	75	鼻梁高度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseBridge_hd.mesh
2	83	鼻梁弧度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseBridge_hd.mesh
2	94	鼻梁凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseBridge_hd.mesh
2	88	鼻尖宽度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseTip_hd.mesh
2	70	鼻尖高度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseTip_hd.mesh
2	69	鼻尖凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseTip_hd.mesh
2	79	鼻尖弧度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseTip_hd.mesh
2	71	鼻翼宽度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseEdge_hd.mesh
2	73	鼻翼高度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseEdge_hd.mesh
2	72	鼻翼凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseEdge_hd.mesh
2	80	鼻翼外旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseEdge_hd.mesh
2	81	鼻翼上旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseEdge_hd.mesh
2	82	鼻翼侧旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseEdge_hd.mesh
2	87	鼻底高度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseBottom_hd.mesh
2	95	鼻底宽度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseBottom_hd.mesh
2	76	鼻底凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseBottom_hd.mesh
2	84	鼻底弧度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_NoseBottom_hd.mesh
2	98	嘴部高低	data\public\FaceMeta\F2\部件\F2_facemeta_parts_MouthGrp_hd.mesh
2	97	嘴部凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_MouthGrp_hd.mesh
2	116	嘴部倾斜	data\public\FaceMeta\F2\部件\F2_facemeta_parts_MouthGrp_hd.mesh
2	130	嘴部宽窄	data\public\FaceMeta\F2\部件\F2_facemeta_parts_MouthGrp_hd.mesh
2	132	嘴唇厚度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_MouthGrp_hd.mesh
2	135	上唇厚度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_UPMouthGrp_hd.mesh
2	99	上唇凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_UPMouthGrp_hd.mesh
2	117	上唇上旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_UPMouthGrp_hd.mesh
2	137	上唇中宽窄	data\public\FaceMeta\F2\部件\F2_facemeta_parts_UpMouthM_hd.mesh
2	139	上唇中厚度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_UpMouthM_hd.mesh
2	107	上唇中高度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_UpMouthM_hd.mesh
2	106	上唇中凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_UpMouthM_hd.mesh
2	122	上唇中上旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_UpMouthM_hd.mesh
2	108	上唇两侧宽窄	data\public\FaceMeta\F2\部件\F2_facemeta_parts_UpMouthSide_hd.mesh
2	110	上唇两侧高度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_UpMouthSide_hd.mesh
2	109	上唇两侧凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_UpMouthSide_hd.mesh
2	123	上唇两侧外旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_UpMouthSide_hd.mesh
2	124	上唇两侧侧旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_UpMouthSide_hd.mesh
2	136	下唇厚度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_DMouthGrp_hd.mesh
2	102	下唇高度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_DMouthGrp_hd.mesh
2	100	下唇凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_DMouthGrp_hd.mesh
2	118	下唇上旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_DMouthGrp_hd.mesh
2	144	下唇中厚度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_DMouthM_hd.mesh
2	112	下唇中高度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_DMouthM_hd.mesh
2	111	下唇中凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_DMouthM_hd.mesh
2	126	下唇中上旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_DMouthM_hd.mesh
2	113	下唇两侧宽窄	data\public\FaceMeta\F2\部件\F2_facemeta_parts_DMouthSide_hd.mesh
2	115	下唇两侧高度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_DMouthSide_hd.mesh
2	114	下唇两侧凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_DMouthSide_hd.mesh
2	127	下唇两侧外旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_DMouthSide_hd.mesh
2	128	下唇两侧侧旋	data\public\FaceMeta\F2\部件\F2_facemeta_parts_DMouthSide_hd.mesh
2	105	嘴角高度	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Modiolus_hd.mesh
2	103	嘴角间距	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Modiolus_hd.mesh
2	104	嘴角凹凸	data\public\FaceMeta\F2\部件\F2_facemeta_parts_Modiolus_hd.mesh
5	37	面部宽窄	data\public\FaceMeta\M1\部件\M1_facemeta_parts_FaceGrp_hd.mesh
5	1	面部长短	data\public\FaceMeta\M1\部件\M1_facemeta_parts_FaceGrp_hd.mesh
5	171	上部高低	data\public\FaceMeta\M1\部件\M1_facemeta_parts_FaceGrpU_hd.mesh
5	86	中庭长短	data\public\FaceMeta\M1\部件\M1_facemeta_parts_FaceGrpM_hd.mesh
5	0	饱满程度	data\public\FaceMeta\M1\部件\M1_facemeta_parts_ForeHead_hd.mesh
5	19	倾斜程度	data\public\FaceMeta\M1\部件\M1_facemeta_parts_ForeHead_hd.mesh
5	9	颧骨高低	data\public\FaceMeta\M1\部件\M1_facemeta_parts_Malar_hd.mesh
5	7	颧骨宽窄	data\public\FaceMeta\M1\部件\M1_facemeta_parts_Malar_hd.mesh
5	8	颧骨凹凸	data\public\FaceMeta\M1\部件\M1_facemeta_parts_Malar_hd.mesh
5	24	颧骨外旋	data\public\FaceMeta\M1\部件\M1_facemeta_parts_Malar_hd.mesh
5	25	颧骨侧旋	data\public\FaceMeta\M1\部件\M1_facemeta_parts_Malar_hd.mesh
5	26	颧骨上旋	data\public\FaceMeta\M1\部件\M1_facemeta_parts_Malar_hd.mesh
